filepaths,labels
flowers\rose\15f7297dd4.jpg.npy,rose
flowers\tulip\4557693184_7dcb08e457_c.jpg.npy,tulip
flowers\tulip\610e29d19b.jpg.npy,tulip
flowers\sunflower\5008448727_9ee4317530_c.jpg.npy,sunflower
flowers\tulip\25823281684_6d7d509677_c.jpg.npy,tulip
flowers\daisy\9346508462_f0af3163f4_jpg.rf.6eba4c815c2b8adb3a1c9e35bd7234e6.jpg.npy,daisy
flowers\tulip\1353748522_b9c630b162.jpg.npy,tulip
flowers\rose\32150006740_bf685fc903_c.jpg.npy,rose
flowers\daisy\yellow-african-daisy-4006614.jpg.npy,daisy
flowers\daisy\5739768868_9f982684f9_n.jpg.npy,daisy
flowers\dandelion\5648734641_a9e40312f3_c.jpg.npy,dandelion
flowers\sunflower\decorative-flower-sunflower-isolated-white-background-32351874.jpg.npy,sunflower
flowers\dandelion\8980164828_04fbf64f79_n.jpg.npy,dandelion
flowers\tulip\6892978682_cb58816647_c.jpg.npy,tulip
flowers\tulip\65347450_53658c63bd_n.jpg.npy,tulip
flowers\daisy\daisy-flowers-19814827 (1).jpg.npy,daisy
flowers\tulip\7166644048_b00a14f01b.jpg.npy,tulip
flowers\rose\roses-shadow-227574.jpg.npy,rose
flowers\dandelion\42010026582_d000ce7237_c.jpg.npy,dandelion
flowers\sunflower\9231555352_d2dd8f8e68_m.jpg.npy,sunflower
flowers\rose\15548122062_5d43358e51_c.jpg.npy,rose
flowers\dandelion\4571923094_b9cefa9438_n.jpg.npy,dandelion
flowers\rose\34526050931_babfaedcc6_c.jpg.npy,rose
flowers\daisy\40f336f9be.jpg.npy,daisy
flowers\tulip\3825333026_0086470dfb_c.jpg.npy,tulip
flowers\sunflower\1342625466_8de6a9088a_c.jpg.npy,sunflower
flowers\rose\rose-flower-7891905.jpg.npy,rose
flowers\dandelion\f561da77be.jpg.npy,dandelion
flowers\tulip\14116780333_7836f4448c.jpg.npy,tulip
flowers\rose\446279753_a64e48ad9d_c.jpg.npy,rose
flowers\rose\32724693914_282ccc4f92_n.jpg.npy,rose
flowers\daisy\4897587985_f9293ea1ed_jpg.rf.973dd6a1be2ab702d883cad8088ebc69.jpg.npy,daisy
flowers\rose\5335935851_53634d6aed_n.jpg.npy,rose
flowers\dandelion\10b5147b2e.jpg.npy,dandelion
flowers\dandelion\8807401106_c870b07e52_c.jpg.npy,dandelion
flowers\dandelion\mature-dandelion-flower-5337618.jpg.npy,dandelion
flowers\tulip\8655935619_cbe65c2989_c.jpg.npy,tulip
flowers\daisy\11439894966_dca877f0cd_jpg.rf.9bdedc27354b7f74dce05cfee2f2f7db.jpg.npy,daisy
flowers\daisy\red-gerber-daisy-3652274.jpg.npy,daisy
flowers\sunflower\6166888942_7058198713_m.jpg.npy,sunflower
flowers\daisy\14485782498_fb342ec301_jpg.rf.21e05426d3c2ec953692641837d7e03c.jpg.npy,daisy
flowers\tulip\17069348027_75a44e05ba_c.jpg.npy,tulip
flowers\tulip\17471970152_af8b033eae_c.jpg.npy,tulip
flowers\tulip\14030042031_c464e82133_c.jpg.npy,tulip
flowers\dandelion\5744085601_3b6a5fecb9_c.jpg.npy,dandelion
flowers\rose\27699273346_5f90d91e79_c.jpg.npy,rose
flowers\tulip\7166567320_0a2beb6d42_n.jpg.npy,tulip
flowers\rose\29996866615_6b611296bb_c.jpg.npy,rose
flowers\tulip\8624522483_0627c5af46_c.jpg.npy,tulip
flowers\sunflower\image_05456.jpg.npy,sunflower
flowers\daisy\181007802_7cab5ee78e_n.jpg.npy,daisy
flowers\daisy\2889325612_f2fc403ff0_m.jpg.npy,daisy
flowers\tulip\13982237316_f092f1213e_c.jpg.npy,tulip
flowers\daisy\daisy-180106.jpg.npy,daisy
flowers\rose\7db38b5e88.jpg.npy,rose
flowers\dandelion\7270523166_b62fc9e5f1_m.jpg.npy,dandelion
flowers\dandelion\18687587599_3dd4fdf255.jpg.npy,dandelion
flowers\sunflower\15054866898_60ee50ec6b_n.jpg.npy,sunflower
flowers\dandelion\8979062599_86cac547b8.jpg.npy,dandelion
flowers\sunflower\42186824130_9083eb30e6_c.jpg.npy,sunflower
flowers\rose\rose-flower-bouquet-17067369.jpg.npy,rose
flowers\dandelion\3393060921_2328b752f4.jpg.npy,dandelion
flowers\sunflower\45045003_30bbd0a142_m.jpg.npy,sunflower
flowers\dandelion\8216553848_b370eae5e4_c.jpg.npy,dandelion
flowers\rose\16051111039_0f0626a241_n.jpg.npy,rose
flowers\daisy\510844526_858b8fe4db_jpg.rf.21becece25e96f1b547936caf4901d69.jpg.npy,daisy
flowers\sunflower\image_05426.jpg.npy,sunflower
flowers\rose\8d5e6b1cba.jpg.npy,rose
flowers\sunflower\2883115609_5a69357b5d_m.jpg.npy,sunflower
flowers\daisy\8348621545_8f02b82662_n.jpg.npy,daisy
flowers\rose\4729161029_f8ef219e92_c.jpg.npy,rose
flowers\daisy\4993492878_11fd4f5d12_jpg.rf.b3af3aac8f6344529d50a901d6e1b5c7.jpg.npy,daisy
flowers\sunflower\58636535_bc53ef0a21_m.jpg.npy,sunflower
flowers\daisy\e4e12f2c66.jpg.npy,daisy
flowers\tulip\0bf0285e4301214604cce39014b37e0e.jpg.npy,tulip
flowers\dandelion\5548268418_dfef2a1315_c.jpg.npy,dandelion
flowers\sunflower\8234846550_fdaf326dbe.jpg.npy,sunflower
flowers\rose\two-pink-roses-white-isolated-background-43644701.jpg.npy,rose
flowers\rose\yellow-roses-18893695.jpg.npy,rose
flowers\rose\32285017590_08d5994a0a_c.jpg.npy,rose
flowers\rose\bright_roses_01_hd_picture_167011.jpg.npy,rose
flowers\sunflower\65.jpg.npy,sunflower
flowers\sunflower\images21.jpg.npy,sunflower
flowers\daisy\white-daisy-flower-1091809.jpg.npy,daisy
flowers\daisy\wild-flowers-chamomile-field-daisy-plant-sunlight-summer-spring-background-117452094.jpg.npy,daisy
flowers\daisy\80512a9ff4.jpg.npy,daisy
flowers\daisy\beautiful-daisy-gerbera-flower-18696172.jpg.npy,daisy
flowers\sunflower\9622118638_f00f903fcb_c.jpg.npy,sunflower
flowers\daisy\14866200659_6462c723cb_m.jpg.npy,daisy
flowers\dandelion\7179487220_56e4725195_m.jpg.npy,dandelion
flowers\sunflower\22405882322_d4561f8469_n.jpg.npy,sunflower
flowers\dandelion\d07e039dd3.jpg.npy,dandelion
flowers\tulip\16570062929_6c41c66387_n.jpg.npy,tulip
flowers\dandelion\7271416566_1cbcf306d3_c.jpg.npy,dandelion
flowers\sunflower\45.jpg.npy,sunflower
flowers\dandelion\3586377791_ec46d44846_c.jpg.npy,dandelion
flowers\dandelion\c34683a39f59a71baa417e627cb4afe7.jpg.npy,dandelion
flowers\rose\il_570xN.1202408264_c3oj.jpg.npy,rose
flowers\daisy\5896105367_fa08a65869_n.jpg.npy,daisy
flowers\dandelion\2659398353_e625e96632_c.jpg.npy,dandelion
flowers\sunflower\42563860274_797e1d6a89_c.jpg.npy,sunflower
flowers\dandelion\3365850019_8158a161a8_n.jpg.npy,dandelion
flowers\daisy\4065883015_4bb6010cb7_n.jpg.npy,daisy
flowers\sunflower\5026603283_1b136a96d5_c.jpg.npy,sunflower
flowers\dandelion\5248358771_4e474869fd_c.jpg.npy,dandelion
flowers\sunflower\_methode_times_prod_web_bin_1a8208d2-d964-11e9-a836-b8a7068a08fb.jpg.npy,sunflower
flowers\tulip\8714198602_cd478c535a_c.jpg.npy,tulip
flowers\tulip\9976515506_d496c5e72c.jpg.npy,tulip
flowers\daisy\image_02274.jpg.npy,daisy
flowers\sunflower\7168733793_e181bdb4e5_c.jpg.npy,sunflower
flowers\tulip\8908062479_449200a1b4.jpg.npy,tulip
flowers\rose\background-beautiful-pink-roses-50435798.jpg.npy,rose
flowers\sunflower\sunflower-with-two-bees.jpg.npy,sunflower
flowers\rose\4360743371_6238b36d8c_m.jpg.npy,rose
flowers\sunflower\3665455426_9cd1c3af4a_n.jpg.npy,sunflower
flowers\daisy\15f4ad4070.jpg.npy,daisy
flowers\daisy\34275152390_44e7262261_n.jpg.npy,daisy
flowers\sunflower\29972905_4cc537ff4b_n.jpg.npy,sunflower
flowers\rose\image_01287.jpg.npy,rose
flowers\rose\image_01249.jpg.npy,rose
flowers\rose\8755112689_ed1b247bd5_c.jpg.npy,rose
flowers\daisy\92f988fa43.jpg.npy,daisy
flowers\sunflower\312540668_b946cf5298_c.jpg.npy,sunflower
flowers\rose\a06a331217.jpg.npy,rose
flowers\tulip\7b86528a822f519fa2f47ac03d850f8a.jpg.npy,tulip
flowers\dandelion\5089957271_da8032bb8b_c.jpg.npy,dandelion
flowers\daisy\14372713423_61e2daae88.jpg.npy,daisy
flowers\sunflower\59.jpg.npy,sunflower
flowers\dandelion\14287969623_453d3cd773_c.jpg.npy,dandelion
flowers\daisy\20948886919_cac7844f34_n.jpg.npy,daisy
flowers\rose\1364158896_b72bfeccfe_c.jpg.npy,rose
flowers\rose\jug-roses-10764985.jpg.npy,rose
flowers\daisy\5740004086_690a1eef85_n.jpg.npy,daisy
flowers\dandelion\5698634793_3d41562f4c_c.jpg.npy,dandelion
flowers\dandelion\17428029599_58e2635b7a_c.jpg.npy,dandelion
flowers\dandelion\14029746342_69c3575a44_c.jpg.npy,dandelion
flowers\sunflower\200557979_a16112aac1_n.jpg.npy,sunflower
flowers\daisy\14613443462_d4ed356201.jpg.npy,daisy
flowers\sunflower\sunflower-12255837.jpg.npy,sunflower
flowers\tulip\8395066855_b869a39982_c.jpg.npy,tulip
flowers\sunflower\9535500195_543d0b729b.jpg.npy,sunflower
flowers\tulip\orange-purple-tulips-colorful-spring-time-34937031.jpg.npy,tulip
flowers\sunflower\6fb9bf71ba.jpg.npy,sunflower
flowers\dandelion\7083589767_2859993846_n.jpg.npy,dandelion
flowers\tulip\3421027755_cdb8fef8e8_n.jpg.npy,tulip
flowers\tulip\451164048_4278006f1c_c.jpg.npy,tulip
flowers\daisy\33837577463_1ae52a3726_n.jpg.npy,daisy
flowers\rose\5336546068_8fd643243c_n.jpg.npy,rose
flowers\sunflower\4758241829_0f3f315318_c.jpg.npy,sunflower
flowers\tulip\4004602946_801866c8bc_c.jpg.npy,tulip
flowers\rose\3663244576_97f595cf4a.jpg.npy,rose
flowers\tulip\b357c6bc5fc18f520f7cd6bda177956a.jpg.npy,tulip
flowers\dandelion\13977780852_8dec2f3d0b_c.jpg.npy,dandelion
flowers\rose\7772494422_76e0003de2_c.jpg.npy,rose
flowers\daisy\13.jpg.npy,daisy
flowers\tulip\15275504998_ca9eb82998.jpg.npy,tulip
flowers\rose\8198458828_db627ac431_c.jpg.npy,rose
flowers\dandelion\33351212733_042700db95_c.jpg.npy,dandelion
flowers\daisy\spring-daisy-flower-4848016.jpg.npy,daisy
flowers\rose\bouquet-pink-roses-26226360.jpg.npy,rose
flowers\sunflower\4778356407_ebb8e799f1_c.jpg.npy,sunflower
flowers\dandelion\14338906583_0db1b708d5_c.jpg.npy,dandelion
flowers\dandelion\6193849452_8684b7b79e_c.jpg.npy,dandelion
flowers\tulip\112651128_7b5d39a346_m.jpg.npy,tulip
flowers\daisy\2567033807_8e918c53d8_n.jpg.npy,daisy
flowers\rose\bunch-pink-roses-beautiful-tropical-garden-52017531.jpg.npy,rose
flowers\rose\yellow-roses-background-4788890.jpg.npy,rose
flowers\dandelion\4983736034_cf530e9e04_c.jpg.npy,dandelion
flowers\daisy\8127252886_96558c23d1.jpg.npy,daisy
flowers\tulip\5658403681_2f4314aeeb_c.jpg.npy,tulip
flowers\rose\29005223960_e06494c342_c.jpg.npy,rose
flowers\rose\rose-flower-photo-spring-time-40953549.jpg.npy,rose
flowers\sunflower\6350641478_78e813f9d9_c.jpg.npy,sunflower
flowers\rose\7826516066_4971a9cb2b_c.jpg.npy,rose
flowers\rose\Power-of-a-red-rose.jpg.npy,rose
flowers\daisy\10994032453_ac7f8d9e2e_jpg.rf.794f9c58421856ac62b825a2edc4f503.jpg.npy,daisy
flowers\daisy\5973491805_556bba93cc.jpg.npy,daisy
flowers\dandelion\18876985840_7531dc8e6a.jpg.npy,dandelion
flowers\sunflower\5967283168_90dd4daf28_n.jpg.npy,sunflower
flowers\rose\e98eab3e82.jpg.npy,rose
flowers\sunflower\5043404000_9bc16cb7e5_m.jpg.npy,sunflower
flowers\sunflower\3732843433_92b5e22381_c.jpg.npy,sunflower
flowers\daisy\495098110_3a4bb30042_n_jpg.rf.c6b66ece63c1038ecbf415223169ba1a.jpg.npy,daisy
flowers\rose\26471888213_2f8097ee23_c.jpg.npy,rose
flowers\sunflower\sunflower-27182984.jpg.npy,sunflower
flowers\dandelion\dandelion-397270.jpg.npy,dandelion
flowers\rose\22325299158_6e32e599f8_m.jpg.npy,rose
flowers\daisy\shasta-daisy-leucanthemum-superbum-98682338.jpg.npy,daisy
flowers\tulip\13197345653_0f685b3c97_n.jpg.npy,tulip
flowers\dandelion\cd212784d0.jpg.npy,dandelion
flowers\daisy\3703643767_dee82cdef9_n_jpg.rf.c001b55364816221e44648204eceae95.jpg.npy,daisy
flowers\tulip\14055533888_f8e66b5693_n.jpg.npy,tulip
flowers\rose\16670921315_0fc48d7ab2_n.jpg.npy,rose
flowers\rose\6889144155_0b15272d6f_c.jpg.npy,rose
flowers\tulip\pink-tulips-gift-box-38406293.jpg.npy,tulip
flowers\tulip\5624360941_3b54b0ecdd_c.jpg.npy,tulip
flowers\dandelion\8873ee28b5.jpg.npy,dandelion
flowers\tulip\19903091702_3522e9ef3c_n.jpg.npy,tulip
flowers\dandelion\cdaa22f5da.jpg.npy,dandelion
flowers\daisy\19527362416_8bdcbefb8b_n_jpg.rf.e2e3cb080b183a84707ad9ffa0dddba4.jpg.npy,daisy
flowers\dandelion\34568232012_2e771f16f8_n.jpg.npy,dandelion
flowers\sunflower\9651392844_77f90589ba_n.jpg.npy,sunflower
flowers\dandelion\18889216716_cd67aec890_n.jpg.npy,dandelion
flowers\dandelion\image_06299.jpg.npy,dandelion
flowers\sunflower\6239758929_50e5e5a476_m.jpg.npy,sunflower
flowers\sunflower\image_05427.jpg.npy,sunflower
flowers\daisy\ca9a07a2da3079d9aa950de62ef9724c.jpg.npy,daisy
flowers\daisy\8071646795_2fdc89ab7a_n.jpg.npy,daisy
flowers\dandelion\6888894675_524a6accab_n.jpg.npy,dandelion
flowers\sunflower\3154932290_4bf43bd34f_n.jpg.npy,sunflower
flowers\dandelion\41697632495_3f2b025231_c.jpg.npy,dandelion
flowers\rose\6867597533_d65d1c39fb_n.jpg.npy,rose
flowers\dandelion\4656886957_af709c7f85_c.jpg.npy,dandelion
flowers\sunflower\35.jpg.npy,sunflower
flowers\daisy\8759177308_951790e00d_m_jpg.rf.31dfe077294bf6d23c6112ede92102a3.jpg.npy,daisy
flowers\dandelion\3416985343_8f889ee3e0_c.jpg.npy,dandelion
flowers\dandelion\468749497_951c571eff_n.jpg.npy,dandelion
flowers\rose\9949176603_cd37af664b_c.jpg.npy,rose
flowers\daisy\5434742166_35773eba57_m.jpg.npy,daisy
flowers\sunflower\e030a496c3.jpg.npy,sunflower
flowers\tulip\13899722668_cc449908da_c.jpg.npy,tulip
flowers\rose\24321904043_5c7afe22fb_c.jpg.npy,rose
flowers\rose\f9a319fade9bd73e4e6bcd33c20084b1.jpg.npy,rose
flowers\tulip\2e46afc476.jpg.npy,tulip
flowers\rose\c02169fd83c62e1fd57d6b52a2d8a7b9.jpg.npy,rose
flowers\tulip\3626132563_d955973447_n.jpg.npy,tulip
flowers\dandelion\61242541_a04395e6bc.jpg.npy,dandelion
flowers\tulip\9480b8d926.jpg.npy,tulip
flowers\tulip\6998265558_0a0780a12c_c.jpg.npy,tulip
flowers\tulip\141479422_5a6fa1fd1b_m.jpg.npy,tulip
flowers\tulip\a723521a49223e8701c05c35f9ace9dc.jpg.npy,tulip
flowers\rose\5001844777_d9e1968119_n.jpg.npy,rose
flowers\daisy\four-yellow-shasta-daisy-flowers-isolated-white-14269301.jpg.npy,daisy
flowers\rose\red-roses-3509508.jpg.npy,rose
flowers\rose\b5188f99ac.jpg.npy,rose
flowers\sunflower\sunflower-close-up-autumn-45427391.jpg.npy,sunflower
flowers\sunflower\1562643782303983.jpg.npy,sunflower
flowers\tulip\572da8acbb.jpg.npy,tulip
flowers\sunflower\13095941995_9a66faa713_n.jpg.npy,sunflower
flowers\sunflower\287.jpg.npy,sunflower
flowers\dandelion\56994280_7d319f8f4f_c.jpg.npy,dandelion
flowers\sunflower\little-becka-sunflower-types-1586794857.jpg.npy,sunflower
flowers\sunflower\9688772900_427e0083e7_c.jpg.npy,sunflower
flowers\tulip\fb2fbad990de1f251c39a116da4c1ba2.jpg.npy,tulip
flowers\daisy\212bc85ce3.jpg.npy,daisy
flowers\dandelion\2753166154_0cb51a127b.jpg.npy,dandelion
flowers\rose\fabric-roses-9255224.jpg.npy,rose
flowers\dandelion\33885269993_3968e1aacc_n.jpg.npy,dandelion
flowers\tulip\14155621516_b6b8712413_c.jpg.npy,tulip
flowers\sunflower\3caa90e020.jpg.npy,sunflower
flowers\tulip\15714530594_d2b3da4c21_c.jpg.npy,tulip
flowers\rose\15509799653_0562d4a4fa.jpg.npy,rose
flowers\rose\28812188825_8c110fc3b6_c.jpg.npy,rose
flowers\tulip\8708856019_f3be2353a4_n.jpg.npy,tulip
flowers\tulip\14674067742_73c2602aa6_m.jpg.npy,tulip
flowers\tulip\tulip-flower-25074286.jpg.npy,tulip
flowers\tulip\26264721746_f8c954df29_c.jpg.npy,tulip
flowers\tulip\5a32bf58f359001087761b8e35d96614.jpg.npy,tulip
flowers\sunflower\3.jpg.npy,sunflower
flowers\tulip\11746367_d23a35b085_n.jpg.npy,tulip
flowers\dandelion\8978962053_0727b41d26.jpg.npy,dandelion
flowers\sunflower\1ea22950e5.jpg.npy,sunflower
flowers\rose\3045954461_54dd378b1d_c.jpg.npy,rose
flowers\dandelion\41213100135_6a4570d714_c.jpg.npy,dandelion
flowers\rose\32608854771_dd0e78e976_c.jpg.npy,rose
flowers\tulip\16990574989_84ea935171_c.jpg.npy,tulip
flowers\sunflower\yellow-sunflower-4004420.jpg.npy,sunflower
flowers\rose\27041422151_ec881e55c6_c.jpg.npy,rose
flowers\dandelion\25289294733_0ae6bea5e8_c.jpg.npy,dandelion
flowers\sunflower\5470334361_bbd4cb832a_c.jpg.npy,sunflower
flowers\rose\image_01235.jpg.npy,rose
flowers\sunflower\8081530919_c882d46bb0_n.jpg.npy,sunflower
flowers\tulip\6150100648_8a800eae4b_c.jpg.npy,tulip
flowers\daisy\954a577a7ae58e69c04f726d72fe0ed7.jpg.npy,daisy
flowers\sunflower\6985799030_a4e0f88d8a_c.jpg.npy,sunflower
flowers\daisy\daisy-flowers-18661543.jpg.npy,daisy
flowers\rose\image_01187.jpg.npy,rose
flowers\daisy\34540113401_b81594e92a_n.jpg.npy,daisy
flowers\tulip\14651383746_419dc73634_m.jpg.npy,tulip
flowers\rose\3713368809_eba7fa2fbf_m.jpg.npy,rose
flowers\rose\21058003722_b429b2eaed_c.jpg.npy,rose
flowers\sunflower\5223643767_d8beb7e410.jpg.npy,sunflower
flowers\tulip\yellow-tulips-full-bloom-39727024.jpg.npy,tulip
flowers\rose\26833044715_d804d60b1b_c.jpg.npy,rose
flowers\rose\26429548153_17eb8c9ecc_c.jpg.npy,rose
flowers\rose\37421104851_658939414d_c.jpg.npy,rose
flowers\daisy\4065883015_4bb6010cb7_n_jpg.rf.f5c4c735ac6e501f206c79255ffe23a0.jpg.npy,daisy
flowers\tulip\2446176442_5534827a2f_c.jpg.npy,tulip
flowers\sunflower\images27.jpg.npy,sunflower
flowers\rose\709c6100d9.jpg.npy,rose
flowers\dandelion\26741270544_f44f3a1b19_n.jpg.npy,dandelion
flowers\tulip\cafa099376.jpg.npy,tulip
flowers\dandelion\459633569_5ddf6bc116_m.jpg.npy,dandelion
flowers\dandelion\2455861688_dd37b7188b_c.jpg.npy,dandelion
flowers\daisy\5714327423_50af0cffe9_jpg.rf.4c0b374267259687932964fe82023985.jpg.npy,daisy
flowers\tulip\b4674205f4.jpg.npy,tulip
flowers\sunflower\3932507237_9ca988705d_c.jpg.npy,sunflower
flowers\dandelion\8652713930_37a1831d0d_c.jpg.npy,dandelion
flowers\dandelion\dandelion-isolated-black-seed-5183863.jpg.npy,dandelion
flowers\tulip\14090534565_5857ce4b7c_n.jpg.npy,tulip
flowers\rose\2951375433_ae2726d9d2_m.jpg.npy,rose
flowers\tulip\33187168234_b524e1a6e5_c.jpg.npy,tulip
flowers\tulip\3991742794_edebc6c8a0_n.jpg.npy,tulip
flowers\sunflower\6971011304_e9ba657676_c.jpg.npy,sunflower
flowers\tulip\1cad392c01f783ed0fe320f74a8b121a.jpg.npy,tulip
flowers\sunflower\three-sunflower-19926958.jpg.npy,sunflower
flowers\sunflower\310380634_60e6c79989.jpg.npy,sunflower
flowers\daisy\2641979584_2b21c3fe29_m.jpg.npy,daisy
flowers\tulip\13910131718_731353d84c_n.jpg.npy,tulip
flowers\daisy\8120563761_ed5620664f_m.jpg.npy,daisy
flowers\tulip\bunch-yellow-tulips-black-background-11407170.jpg.npy,tulip
flowers\dandelion\14457225751_645a3784fd_n.jpg.npy,dandelion
flowers\tulip\7166646966_41d83cd703.jpg.npy,tulip
flowers\sunflower\bbf0971882.jpg.npy,sunflower
flowers\dandelion\7291185504_b740bbeba4_c.jpg.npy,dandelion
flowers\dandelion\3499908514_6193f8e07d_c.jpg.npy,dandelion
flowers\daisy\3640845041_80a92c4205_n_jpg.rf.02f8a2f94f7026c790866fb7de2c1147.jpg.npy,daisy
flowers\sunflower\5180861654_0741222c62_n.jpg.npy,sunflower
flowers\rose\3997609936_8db20b7141_n.jpg.npy,rose
flowers\daisy\5109508979_68e3530791_m_jpg.rf.b9c5367128f7fdd79dab9f10f26fa5a4.jpg.npy,daisy
flowers\tulip\17062879586_2563d59208_c.jpg.npy,tulip
flowers\dandelion\4682526521_dde5bf3043_c.jpg.npy,dandelion
flowers\dandelion\732c5c1211.jpg.npy,dandelion
flowers\tulip\fc457fbb942bd4b00022ed5c0b31d739.jpg.npy,tulip
flowers\sunflower\5979668702_fdaec9e164_n.jpg.npy,sunflower
flowers\tulip\3474066174_8d3b3e8f97_n.jpg.npy,tulip
flowers\dandelion\6713614729_6f6f60937f_c.jpg.npy,dandelion
flowers\sunflower\sunflower-10499086.jpg.npy,sunflower
flowers\dandelion\34725991045_05812dedd5_n.jpg.npy,dandelion
flowers\dandelion\26923365560_3c40af3326_c.jpg.npy,dandelion
flowers\tulip\129940894_7ab017c39f_c.jpg.npy,tulip
flowers\dandelion\fa4b36b183e032f3c196b967e69e89f9.jpg.npy,dandelion
flowers\daisy\33.jpg.npy,daisy
flowers\tulip\bc06b0a7b5.jpg.npy,tulip
flowers\dandelion\7062171343_db61c92737_n.jpg.npy,dandelion
flowers\tulip\8768645961_8f1e097170_n.jpg.npy,tulip
flowers\daisy\34585995071_13e07140d8_n.jpg.npy,daisy
flowers\dandelion\8929762207_38d4fdac35_c.jpg.npy,dandelion
flowers\dandelion\1193386857_3ae53574f2_m.jpg.npy,dandelion
flowers\daisy\506493250_e9ca42fe3d.jpg.npy,daisy
flowers\sunflower\15899952623_1062cf4710_c.jpg.npy,sunflower
flowers\sunflower\14678298676_6db8831ee6_m.jpg.npy,sunflower
flowers\rose\romantic-pink-roses-22332423.jpg.npy,rose
flowers\rose\5529341024_0c35f2657d.jpg.npy,rose
flowers\tulip\53cb4b465b.jpg.npy,tulip
flowers\tulip\627a597a4abb53aeb26e11faa6b6c46f.jpg.npy,tulip
flowers\dandelion\2326334426_2dc74fceb1.jpg.npy,dandelion
flowers\sunflower\104105032_73f190dae8_c.jpg.npy,sunflower
flowers\sunflower\images30.jpg.npy,sunflower
flowers\sunflower\7704a6d66c.jpg.npy,sunflower
flowers\tulip\16702188449_3dacce90b2_m.jpg.npy,tulip
flowers\dandelion\8736985430_96f49d9d96_c.jpg.npy,dandelion
flowers\sunflower\image_05435.jpg.npy,sunflower
flowers\sunflower\5229364b6e.jpg.npy,sunflower
flowers\rose\4505921907_21c8002fde.jpg.npy,rose
flowers\tulip\67d723ce03.jpg.npy,tulip
flowers\rose\16334786972_1b3e71cab8_m.jpg.npy,rose
flowers\tulip\34bc45ddfd601fee77a92775a66558a0.jpg.npy,tulip
flowers\rose\8125886145_ae99f91fd0.jpg.npy,rose
flowers\tulip\4263272885_1a49ea5209.jpg.npy,tulip
flowers\rose\2080587221_861f79877c_c.jpg.npy,rose
flowers\rose\1831404161_d2df86fd70.jpg.npy,rose
flowers\rose\7376471712_e1be793f94.jpg.npy,rose
flowers\daisy\510844526_858b8fe4db.jpg.npy,daisy
flowers\dandelion\5109496141_8dcf673d43_n.jpg.npy,dandelion
flowers\tulip\35d018fbe5.jpg.npy,tulip
flowers\rose\30716306220_007f5a5d4a_c.jpg.npy,rose
flowers\tulip\8648699963_0fd6642fa8_c.jpg.npy,tulip
flowers\sunflower\5591955950_43b18a1299_c.jpg.npy,sunflower
flowers\daisy\3dcc12bdaca7b18066795119232935d1.jpg.npy,daisy
flowers\daisy\image_06222.jpg.npy,daisy
flowers\rose\6684705935_08147f3b54_c.jpg.npy,rose
flowers\dandelion\4675168962_dea56824ac_c.jpg.npy,dandelion
flowers\dandelion\16041975_2f6c1596e5.jpg.npy,dandelion
flowers\dandelion\9759608055_9ab623d193.jpg.npy,dandelion
flowers\daisy\3338077096_3a8ed0e2bc_m_jpg.rf.e88f31c717884d098dbd40b0194b6fd6.jpg.npy,daisy
flowers\sunflower\14561130315_831503a05b_c.jpg.npy,sunflower
flowers\daisy\335579a9da.jpg.npy,daisy
flowers\dandelion\5873232330_59818dee03_n.jpg.npy,dandelion
flowers\sunflower\6075973816_cb883cec8b_c.jpg.npy,sunflower
flowers\rose\5073473370_bdbb5a99fc.jpg.npy,rose
flowers\tulip\8618601202_0e0577ee24_c.jpg.npy,tulip
flowers\dandelion\30049573680_307baeddba_c.jpg.npy,dandelion
flowers\rose\red-rose-flower-green-leaves-white-background-corner-border-48929408.jpg.npy,rose
flowers\sunflower\5556633113_0a04f5ed8a_n.jpg.npy,sunflower
flowers\sunflower\29836995915_4a065fd2d8_c.jpg.npy,sunflower
flowers\dandelion\dandelion-clock-dispersing-seed-seeds-morning-sunlight-blowing-away-across-fresh-green-background-72708713.jpg.npy,dandelion
flowers\dandelion\34cbb90bdf.jpg.npy,dandelion
flowers\dandelion\1776290427_9d8d5be6ac.jpg.npy,dandelion
flowers\dandelion\136999986_e410a68efb_n.jpg.npy,dandelion
flowers\dandelion\3507136948_5dcbe26893_c.jpg.npy,dandelion
flowers\daisy\9054916c1f.jpg.npy,daisy
flowers\daisy\27400851831_fe08fbcb66_n_jpg.rf.c0c5c014ea4d7400898902428f652781.jpg.npy,daisy
flowers\sunflower\145303599_2627e23815_n.jpg.npy,sunflower
flowers\sunflower\2813308667_1ab5b92fdb_c.jpg.npy,sunflower
flowers\sunflower\2883115621_4837267ea1_m.jpg.npy,sunflower
flowers\tulip\2382849663_f84933309a_c.jpg.npy,tulip
flowers\daisy\18582579815_4c6637e9ff_m.jpg.npy,daisy
flowers\tulip\175686816_067a8cb4c5.jpg.npy,tulip
flowers\tulip\2467694139_3f35ddbc57_c.jpg.npy,tulip
flowers\sunflower\28563725174_3a2f30577a_c.jpg.npy,sunflower
flowers\rose\378710508_9aead53e4c_c.jpg.npy,rose
flowers\daisy\14507818175_05219b051c_m.jpg.npy,daisy
flowers\sunflower\24bf12ce1fe3142c8f14073014009608.jpg.npy,sunflower
flowers\sunflower\8080210306_526a8364de_c.jpg.npy,sunflower
flowers\rose\17891819940_853b7d932e_c.jpg.npy,rose
flowers\daisy\17101762155_2577a28395.jpg.npy,daisy
